X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-122.3,49.05,train,0.0015147667322935867,43.559900918807976,0.7427993016829655
-82.660446,41.774384,train,6.807933920764352E-4,19.78277827169942,0.4568071766946862
-89.248795,48.38028,train,1.954131793555582E-4,9.644483916120551,0.16069098771493262
-82.49102,42.54663,train,3.4288622013097306E-4,13.602440324965153,0.2646268107207259
-110.045242,50.126741,train,0.001495990285083953,42.5765609530939,0.7384334670676937
-107.516324,49.017712,train,0.0024476098888979144,84.89052762989924,0.8885453120989892
-107.672404,49.037075,train,0.0024835487598065657,86.86194838833548,0.892078829843481
-111.281634,50.240533,train,0.002156664679458756,73.91120138022411,0.8553331875505632
-106.538668,49.039502,train,0.0024361718966351364,84.40166364399028,0.8873966345593555
-107.446006,49.196566,train,0.0022907166244634245,80.13756303008712,0.8717138094447461
-107.542578,49.037325,train,0.0024642558005261014,85.62816047404259,0.8901960998590437
-107.583112,49.161846,train,0.002236537189506032,77.42021853837063,0.8653293344966111
-106.407269,49.100449,train,0.002188356475930024,75.43324671235483,0.8593853125642341
-107.51054,49.274445,train,0.0019192063049602282,61.89148098439879,0.8210152497625904
-120.044092,50.758027,train,3.3688713690933317E-4,13.417835172844462,0.2606614513328157
-107.587676,49.120167,train,0.0022915584530554403,80.59558317113562,0.8718105840245706
-110.039279,49.194398,train,0.004182272516230769,100.0,0.9764624759210127
-107.432885,49.243583,train,0.0020984011371371074,71.1390422916954,0.8475764643625878
-107.502758,49.203996,train,0.0022768571552097237,79.45088569450711,0.8701100148194493
-107.495106,49.223645,train,0.0021375143640213596,72.62165807303543,0.8528282347704442
-107.501702,49.220875,train,0.00200720140696776,65.99673932837595,0.8345914927107744
-104.124842,49.695379,train,0.001423364227619064,39.41815490576077,0.7208376160004697
-107.450926,49.04974,train,0.0026650733179854487,89.20833061600798,0.9082859990198735
-119.609745,49.261714,train,0.0024546510602239976,85.13605027778041,0.8892465976871177
-105.292811,50.112679,train,0.0020307237943001364,67.82513108704845,0.8380428506266506
-119.721485,49.234366,train,0.0013702576788744442,36.89693692608507,0.7072261387225698
-110.744226,50.034473,train,0.0017784005686706085,54.858990811633056,0.7969353090656963
-106.405869,49.167019,train,0.001938959024454889,63.05064716039899,0.8241566633378858
-104.026673,49.674167,train,0.0013946761257868673,38.02975530340607,0.7135652342487853
-104.175926,49.705492,train,0.0014476159807655902,40.26200373006463,0.7268411825046781
-111.16244,50.238523,train,0.002141856539816393,73.04853932136692,0.8533999878361267
-114.069672,51.034486,train,7.750808132048956E-4,21.750558285264997,0.500832714464223
-119.751053,49.223588,train,0.0013767974126743486,37.119026702168796,0.7089374993809128
-119.636686,49.352859,train,0.0017918245128807828,55.57390390495382,0.7993642986162854
-119.675586,49.333464,train,0.0015237671917850517,44.036383120762416,0.7448661449760197
-119.683081,49.21289,train,0.0011489930950157289,29.260529249359223,0.6429945355946332
-119.796994,49.21273,train,0.001919601997877766,62.084944561927735,0.8210787271226643
-122.964591,49.150773,train,0.0021878992604781795,75.2160344347346,0.8593276674953563
-111.06639,49.275714,train,0.0021923122592980315,75.68158318980772,0.8598830667894035
-116.046119,50.404532,train,4.831601190249597E-5,3.0191970664584487,0.042387853231708905
-119.705718,49.200045,train,0.0013568124785974314,35.9104649479462,0.7036760352143576
-106.709854,49.082843,train,0.002707738715173522,90.28256824524638,0.9117275503069464
-107.472994,49.035898,train,0.0024792350856289906,86.38687039085048,0.8916606958020532
-104.451828,50.383677,train,6.648103612330581E-4,19.310928730960644,0.44896837460829986
-107.487876,49.398071,train,0.001650142541239595,50.19951781102188,0.772192648878939
-107.375337,49.167915,train,0.002432595392728967,83.91301572665861,0.8870350348819583
-107.450321,49.103337,train,0.0024939556104673077,87.36499554556008,0.8930809581331981
-107.59891,49.335686,train,0.0018327340626721927,57.57676125037958,0.8065889248959401
-107.519347,49.301294,train,0.001906253703527182,60.88928217253683,0.8189249027252425
-107.381127,49.057106,train,0.002805861100995006,91.9374496908383,0.9191603834437762
-119.637143,49.234106,train,0.0013285070623455526,34.44567942503184,0.6960608675929485
-107.408983,49.038546,train,0.0028073036543673304,92.49848599061694,0.9192648547275801
-107.55692,49.107977,train,0.00231658685237106,81.28908006516815,0.8746546777717802
-107.694331,49.368456,train,0.00178509065740723,55.18795434185535,0.7981494978764909
-107.599488,49.295949,train,0.0018609110239102054,59.058615005265615,0.8114131070192322
-110.938592,49.516305,train,0.002097728926049478,71.08723713189262,0.8474845866583552
-110.692442,49.307416,train,0.002466549875366437,85.87502363376862,0.8904216797767331
-107.587968,49.001497,train,0.0025885157951125366,87.62399155940605,0.9017707207249215
-106.543172,49.142877,train,0.0020890263585809444,70.50899404352619,0.8462901095038747
-107.484935,49.083958,train,0.0023037424675106193,80.8265612407725,0.8732030819938242
-107.465824,49.356551,train,0.0017665971088481496,54.14839570665478,0.7947752531347025
-107.427336,49.138406,train,0.0022595021244430627,78.76959734403158,0.8680734167304843
-68.10611,48.609955,train,5.3680552622831537E-5,3.3144847546887477,0.0469819477324791
-66.75429,44.724194,train,5.010595003468202E-4,16.78746464533308,0.3618424843750455
-79.32917,43.62827,train,0.0011746076623451549,29.8436707872925,0.6510986745636442
-64.28,45.87,train,2.1232366187456318E-4,10.237191305315532,0.1733183264111423
-81.94591,42.26359,train,3.6814000697777647E-4,14.199390065716658,0.2810875469900157
-66.79692,44.71289,train,2.8689439383556686E-4,12.282805364176129,0.22677393011792324
-68.12639,48.602055,train,7.92887143732862E-5,4.682579663800699,0.06861041608380891
-78.14283,48.298496,train,1.2364332954383823E-5,0.9261070671091115,0.01102269146099033
-107.410275,49.097931,train,0.0026145557341990086,88.14572306033861,0.9040371565693899
-107.419388,49.005259,train,0.0026399392939442682,88.40981206285393,0.9061961206795969
-107.469056,49.055268,train,0.002426411956198117,83.18547216161922,0.8864071218822211
-107.407806,49.213144,train,0.0020884867160311325,70.29721353764437,0.846215733194801
-106.550067,49.10794,train,0.002310654081310911,81.05770330722198,0.8739862681751238
-106.47396,49.067401,train,0.0021132454222065385,71.84267906785654,0.8495913319548594
-107.510159,49.129143,train,0.0021544084336333927,73.6952594922328,0.8550402897063984
-106.436135,49.015772,train,0.0023461347799716465,81.75749280373317,0.8779312340950757
-106.592246,49.075339,train,0.002820658763598747,92.78044860921239,0.9202256581504702
-120.421919,50.136741,train,0.0018305706496648986,57.027190413012676,0.8062134650083552
-119.789969,49.334096,train,0.001102041665674911,27.205281731949633,0.6276477700559016
-106.446636,49.05465,train,0.002252885807229749,78.54335690034718,0.8672886171301142
-107.629578,50.244815,train,8.090006727582016E-4,22.303936126095213,0.5157825232151871
-106.513731,49.074968,train,0.002355970754934421,82.22825282747088,0.8790028281145523
-106.489014,49.185634,train,0.0018616656005616264,59.42825090108075,0.8115406303254797
-111.234641,50.937468,train,0.0014615193956441692,40.60191641594213,0.7302245927240346
-103.012172,49.026848,train,0.0013267359803699485,34.353258763682305,0.6955779292813395
-116.164494,62.654076,train,4.6524807928721065E-6,0.36415792396866487,0.004161988026442742
-107.56333,49.196914,train,0.00226531235122271,78.93784554085754,0.8687587730883373
-107.535199,49.346146,train,0.0018612601074830984,59.229616611182834,0.8114721127971124
-106.548679,49.04553,train,0.0026644197225173297,88.94171549081328,0.9082322471619886
-106.488872,49.041063,train,0.002247491933023961,78.09376319231686,0.8666453654133334
-105.00954,50.259577,train,0.00199157784579782,65.40529167681619,0.8322585489278458
-119.683973,49.326854,train,0.0016160285442883033,48.761049945368526,0.765118414336627
-107.555104,49.286502,train,0.0018730467960741159,60.364492817692195,0.8134536243590846
-119.411155,49.358719,train,2.1402388704148633E-4,10.303954798500714,0.17457735444465494
-109.112828,49.137607,train,0.0017502741219489347,53.26810830761809,0.7917502053816732
-119.679959,49.269016,train,0.0011349006845912644,28.57437611767127,0.638455873705607
-124.9333,49.6833,train,7.983345710229749E-4,22.17969110463205,0.5111304593440995
-120.0,49.4167,train,2.1475948696785452E-4,10.338391528694654,0.17512147664545186
-80.296331,43.737243,train,1.9263615083630538E-4,9.478526674448272,0.1585989741954167
-80.37818,43.792439,train,1.7967677652394799E-4,8.830934847595953,0.14876715794397544
-119.466667,49.033333,train,0.0039679700260572435,99.58177279885325,0.9714771535957103
-122.211215,49.156783,train,0.0017638564106933225,53.79544804873718,0.794270422011566
-106.4509,52.9399,train,1.3168254370094767E-4,6.899380401351994,0.11134446526138309
-101.6275,49.1755,train,7.638992892519072E-4,21.47543709488916,0.495804114410889
-123.070377,49.211469,train,9.039527857384046E-4,23.445898640632088,0.5552931958187444
-107.256507,49.049782,train,0.0026756483749715886,89.74293616325224,0.9091513315268351
-119.65503,49.264845,train,0.0016668210040839367,50.86969623855737,0.775573318653313
-119.756722,49.250418,train,9.712121311058648E-4,24.74172420693287,0.5813140222888088
-107.373935,49.015886,train,0.002864917733655891,93.34067681191495,0.9233287823372123
-107.253399,49.173064,train,0.002288120889111448,79.90886710270658,0.8714149497993797
-107.441063,49.341539,train,0.001528965720165493,44.32934608766524,0.7460523466507514
-107.508746,49.393493,train,0.00168814262616942,51.54160957967948,0.7798221789704267
-65.458232,43.591654,train,6.886021477349641E-4,20.009660046034554,0.46059629589065576
-107.347468,49.091943,train,0.002708712420363819,90.55361464550775,0.9118045669721304
-107.318642,49.039546,train,0.0028955294420814964,93.64069347299919,0.9254041558252863
-107.067863,49.051404,train,0.0026546165581514524,88.67521882329869,0.9074222422878617
-65.477306,43.564974,train,7.018762655475808E-4,20.313209110772146,0.46697687052071035
-112.286915,49.314561,train,0.001184962057687882,30.075002556845103,0.654322228279038
-107.368617,49.069622,train,0.002841795099299167,93.06458834415604,0.9217229505019866
-107.325343,49.092755,train,0.002686230545503431,90.01181741394915,0.9100090733811272
-107.22095,49.107769,train,0.002194541860311097,75.87382368512208,0.8601628395371386
-109.508717,49.039336,train,0.0038055748213758488,98.01286265127474,0.9670074074643755
-107.590646,49.14805,train,0.002198206147024249,76.3125949815485,0.8606214252539184
-107.310318,49.042017,train,0.002806579513066473,92.21748866399108,0.9192124285142219
-112.825755,50.13227,train,0.001110754460283211,27.7222358422234,0.6305447006006499
-107.170561,49.103877,train,0.0021485314921848324,73.26467818174864,0.854274578937958
-107.597101,49.262149,train,0.0018715804402095833,60.17765246669055,0.8132082477047431
-112.171669,49.676723,train,0.0012950930576683234,33.82684525368007,0.6868190516525119
-120.578922,50.638853,train,0.0016008100587194122,48.253178892216475,0.7618920918686057
-119.767506,49.32298,train,0.0014286921428074144,39.72006763783385,0.7221677612177848
-107.51642,49.062575,train,0.002353026919482274,82.08732073967688,0.8786830980351231
-119.435402,49.084329,train,0.0016979204660542738,51.88063409099621,0.7817436600098264
-107.511645,49.111043,train,0.0022751846505753254,79.22421580550484,0.8699151245392986
-79.328467,43.718257,train,6.284581956714424E-4,18.789400900866667,0.4307158097153445
-107.048304,49.187641,train,0.001957577946251679,64.41573725439991,0.827067264547457
-120.517357,50.60051,train,0.0011133367660102846,27.949089032132623,0.631398957624047
-107.464636,49.190591,train,0.002248761167963198,78.31836074456669,0.8667970092137942
-111.25,50.5,train,0.0018235610824554117,56.66450506569366,0.8049919422330011
-112.083,51.15,train,0.001419955634724487,39.01524829437788,0.7199833024591911
-111.55,50.083,train,0.0019264464657852624,62.277433627197524,0.8221731661798997
-111.417,50.1,train,0.0020115458472531834,66.4078203474687,0.8352344288454917
-108.583,49.5,train,0.0011852193538182698,30.08075032786405,0.6544019499140856
-113.283,50.95,train,9.549633980897763E-4,24.443531646888797,0.5751707989636226
-111.883,50.583,train,0.001479016362443391,41.33183465769301,0.734423006094199
-97.233,49.883,train,3.099819123652569E-4,12.776971331914917,0.24261260563446296
-114.083,51.05,train,7.792227751920116E-4,21.859494466769352,0.5026826976164649
-114.333,51.6,train,1.9575571692303647E-4,9.664037700898062,0.16094867025463944
-113.217,51.833,train,3.562817948621644E-4,13.929822156609413,0.27340461207581435
-119.66666,49.317223,train,0.002067300735611824,69.26085594812244,0.8432671551462037
-81.971855,42.267677,train,3.4537516892375273E-4,13.655850264931024,0.26626574266027636
-123.3,48.43333,train,0.002798719573521589,91.65641843150635,0.9186411916280375
-120.06667,49.35,train,0.001355573846604937,35.83207185685097,0.7033468261564321
-115.76667,49.78333,train,0.0011088578518084011,27.555155803424352,0.6299160194988609
-119.83333,49.2,train,0.0014007297687972393,38.309776080983106,0.7151154289265471
-123.16667,49.18333,train,0.0027269815657037033,91.09744463385141,0.9132371984496156
-119.45,49.03333,train,0.003700835399419238,97.63226795704804,0.9637595553790321
-121.95,49.16667,train,0.0021025422242603553,71.34930142414954,0.8481412480165968
-76.3783,45.41267,train,7.768214641543781E-4,21.796338486466116,0.5016110029200386
-76.38133,45.439175,train,7.644887218723026E-4,21.486235722996792,0.4960704568076738
-107.711405,49.227628,train,0.0019092840443703369,60.93548290136959,0.8194161294973085
-107.267704,49.090662,train,0.00244188718866428,84.64565137813494,0.8879720735799854
-107.232984,49.177905,train,0.002127564976268846,72.40776234697606,0.8515097333186519
-106.519167,50.971803,train,0.00137964051082406,37.406451985748156,0.7096783768080626
-111.432165,49.535914,train,0.0018550986232921721,58.61616616317034,0.8104279157607007
-107.432713,49.288161,train,0.001864297726363862,59.616674608380585,0.8119847844320301
-110.867856,49.358118,train,0.0021637757023126336,74.34257994137403,0.8562524490388971
-107.545789,49.399812,train,0.0017491062641561256,53.09129713784287,0.7915320713268608
-120.590773,50.704187,train,0.0021662946054830834,74.56040819804826,0.856576671623749
-120.495026,50.711519,train,0.0020155924723442528,66.60999032876859,0.8358310429754411
-119.740798,49.352923,train,0.0012452134216049996,31.55111938901832,0.6724976371629623
-111.237552,50.619087,train,0.0014909180665153119,41.62934933720088,0.7372414308830821
-107.71091,49.015246,train,0.002357965631042983,82.46344529247575,0.879219012567223
-107.591339,49.385376,train,0.0017706272032503609,54.32570824856301,0.7955153392567367
-107.795004,49.619516,train,0.001217829627853491,30.713640953927904,0.6643586371481975
-120.405611,50.711608,train,0.0023658711478120164,82.70055253234696,0.8800719406952717
-79.347493,43.722747,train,6.731494335440486E-4,19.558484638303035,0.4530722443564834
-119.705951,49.383095,train,0.0015970306003379976,48.09312177199736,0.7610839997415362
-107.573807,49.35831,train,0.0018686496514288067,59.916639759329385,0.8127168485322906
-107.586921,49.20761,train,0.002196442483555273,76.09356131578389,0.8604008906871011
-120.62084,50.03457,train,0.0012508397100898306,32.02571208366013,0.6741452806893748
-119.453154,49.394702,train,1.1798444148526705E-4,6.430414559669676,0.10036491321419239
-111.07525,50.272781,train,0.0020178456739244803,66.8111678984514,0.8361623068869903
-107.301279,49.174492,train,0.0024869360693850566,87.1154617535199,0.8924060378358902
-120.482446,50.993304,train,3.5635394108019555E-5,2.373258496435274,0.031440166173069106
-79.233988,43.744801,train,5.938534441280355E-4,18.295677514489526,0.4127792150907813
-120.508019,50.643105,train,0.0017655459958653582,54.01289638295086,0.7945817868341113
-73.396164,45.52495,train,5.581506164563117E-4,17.735657435625384,0.39368094455143554
-110.457159,49.155302,train,0.0026739228854832566,89.47606892890754,0.9090106981568694
-122.073832,49.157952,train,0.0018540167328435749,58.50037718672154,0.8102439699666739
-76.200873,45.521843,train,6.69928386836599E-4,19.46327892888591,0.45149072060821516
-107.407847,49.375328,train,0.0014941876937601417,42.325420067956905,0.7380104557722662
-79.336276,43.672679,train,8.055512141586431E-4,22.26375480508615,0.5142828915104267
-106.537157,49.153092,train,0.0020609300479729614,68.84746287578263,0.8423695018972288
-107.229527,49.056445,train,0.002474723826656269,86.12271981224856,0.8912216762828145
-107.598957,49.226708,train,0.0019182326965952318,61.51015981815701,0.8208589668718734
-106.580322,49.470378,train,0.001646204613611693,50.040832542069396,0.771387040789361
-120.435662,50.781951,train,0.0012531740347165943,32.169622637355694,0.6748264459964364
-120.52452,50.797883,train,8.097654523196434E-4,22.316478448602638,0.5161143790386435
-68.06618,48.657373,train,8.29212467259434E-5,4.842179327055797,0.0716384136740047
-68.157229,48.447393,train,1.0863825531199841E-5,0.8137832965011254,0.009691507214876438
-100.564237,49.093372,train,5.537737615519792E-4,17.635654387983298,0.3912973234814451
-123.186072,49.226871,train,0.001513076470995837,43.27750506683791,0.7424092908851692
-112.668655,49.659536,train,0.0012489330737153652,31.79415475283583,0.6735878579768225
-110.209791,49.002245,train,0.003173530297894549,94.88089941777261,0.9418588594772102
-110.900619,50.561406,train,0.0018132529970993163,56.29702214610759,0.8031816018088649
-108.939621,49.880371,train,9.13922561800385E-4,23.790794636461847,0.5592499719873266
-104.606605,50.454838,train,0.001561866078553466,46.09578997013026,0.7534327105292735
-103.667503,50.533741,train,3.4243629981955194E-4,13.592785559510702,0.26433015512214575
-107.650314,51.311348,train,0.0010691181778042682,26.252095792676883,0.6164944027170972
-99.602669,49.710339,train,3.715304474906602E-4,14.280413279972027,0.2832692412732908
-111.435199,50.013173,train,0.0020730212100596346,69.67510247529289,0.8440688342617757
-104.481935,50.38717,train,7.537138509000641E-4,21.28883444616908,0.49117940129784854
-104.244645,49.689191,train,0.0013978895837786036,38.17839431603871,0.714389172278185
-119.673746,49.5111,train,0.0013469752319845,35.290727732281965,0.701051343925714
-119.5352,49.1001,train,0.0031580451061542464,94.56350320602074,0.9410461421188442
-110.240179,49.075355,train,0.0033052061278172644,95.8651130292414,0.948332242716731
-120.266537,50.565502,train,0.001347942506074711,35.41479904046501,0.7013104511115793
-120.228592,50.443224,train,0.0012230711518169592,31.05431167047764,0.665932021081098
-110.256017,49.005079,train,0.0032889243582700416,95.53475941136595,0.9475725883383128
-123.238372,49.375753,train,5.2406636991985003E-5,3.240282451860267,0.04589298912976303
-105.06069,50.0652,train,0.0022870543738413686,79.6809119946827,0.8712919549985122
-111.3583,50.49985,train,0.0018317045325119293,57.34920996757636,0.8064103409522678
-111.3147,50.49931,train,0.0018318593539094763,57.39317881109981,0.8064372070490091
-110.30809,50.94236,train,0.0022140560549218603,77.19630666139399,0.8625877835332267
-110.6995,50.26059,train,0.002007864796280438,66.0621274632109,0.8346898301188892
-104.78593,49.87296,train,0.0015201528054284287,43.88424269694457,0.7440381494245056
-111.67915,51.20759,train,0.0011670798114001204,29.60337661005846,0.6487362312512063
-112.80278,51.59045,train,5.529996948878808E-4,17.61796839491751,0.39087479514753276
-104.44071,49.91316,train,0.0013490813039203488,35.56094148543084,0.7016152171555711
-110.52293,50.57603,train,0.002050137728641279,68.64130200351823,0.8408370772425113
-105.9918,49.6336,train,0.00180469312485448,55.88029851138276,0.8016655226560003
-104.0,50.16667,train,5.654674785451352E-4,18.005530636435324,0.3976448577950147
-105.06667,50.01667,train,0.0021877346554914764,75.20420765044528,0.8593069085497014
-102.95376,49.19165,train,0.0010990490757965552,27.012869648369023,0.6266475273306038
-105.53333,50.4,train,0.00188384180717744,60.55190110269483,0.8152501433967418
-104.3,50.3,train,6.469811494343448E-4,18.970763645042663,0.4400905718389857
-105.71667,50.4,train,0.0016925964501813484,51.69601413664416,0.7806995059874601
-104.53333,50.25,train,0.0011041903718130121,27.343454761175593,0.6283643000212504
-111.08698,50.22208,train,0.002088327998156745,70.09222917073525,0.8461938510335356
-111.19708,50.10694,train,0.0022369532900491126,77.64401326594542,0.8653795585623074
-111.32772,50.41547,train,0.001955073560818832,64.02518133444794,0.8266785887062962
-111.05862,50.37372,train,0.0019437144900868511,63.44204771893784,0.8249046867105702
-106.43333,51.63333,train,4.692729494878878E-4,16.14155879787388,0.34339678537205054
-105.26667,50.16667,train,0.0021536455627461145,73.63936682267848,0.8549411224185771
-108.77087,50.83384,train,0.0020661163065746127,69.05392556335006,0.8431006524707536
